record_id,event_date,academic_year,month_name,program_area,activity_type,category,modality,count,attendance,partner_count,platform_logins,profile_completions,opportunity_count,notes
1,2024-07-15,2024-2025,July,platform_outcomes,platform_activity,presentation,virtual,33,0,0,151,160,0,synthetic demo row
2,2024-07-15,2024-2025,July,program_activity,outreach_session,posting,in_person,31,204,0,0,0,0,synthetic demo row
3,2024-07-15,2024-2025,July,partner_engagement,large_scale_event,advising,virtual,113,121,0,0,0,0,synthetic demo row
4,2024-07-15,2024-2025,July,program_activity,outreach_session,advising,virtual,134,288,0,0,0,0,synthetic demo row
5,2024-07-15,2024-2025,July,platform_outcomes,platform_activity,networking,hybrid,112,0,0,551,249,0,synthetic demo row
6,2024-07-15,2024-2025,July,platform_outcomes,opportunity_posting,login,virtual,6,0,0,0,0,398,synthetic demo row
7,2024-07-15,2024-2025,July,platform_outcomes,platform_activity,presentation,virtual,113,0,0,796,162,0,synthetic demo row
8,2024-07-15,2024-2025,July,platform_outcomes,opportunity_posting,advising,not_applicable,91,0,0,0,0,62,synthetic demo row
9,2024-07-15,2024-2025,July,program_activity,service_interaction,networking,hybrid,96,184,0,0,0,0,synthetic demo row
10,2024-07-15,2024-2025,July,platform_outcomes,opportunity_posting,orientation,in_person,16,0,0,0,0,383,synthetic demo row
11,2024-08-15,2024-2025,August,partner_engagement,partner_event,login,hybrid,25,166,9,0,0,0,synthetic demo row
12,2024-08-15,2024-2025,August,partner_engagement,large_scale_event,advising,virtual,54,234,2,0,0,0,synthetic demo row
13,2024-08-15,2024-2025,August,platform_outcomes,opportunity_posting,login,virtual,79,0,0,0,0,50,synthetic demo row
14,2024-08-15,2024-2025,August,platform_outcomes,opportunity_posting,skill_building,not_applicable,30,0,0,0,0,204,synthetic demo row
15,2024-08-15,2024-2025,August,platform_outcomes,platform_activity,skill_building,virtual,98,0,0,433,209,0,synthetic demo row
16,2024-08-15,2024-2025,August,platform_outcomes,platform_activity,networking,virtual,73,0,0,246,107,0,synthetic demo row
17,2024-08-15,2024-2025,August,program_activity,outreach_session,skill_building,virtual,123,220,0,0,0,0,synthetic demo row
18,2024-08-15,2024-2025,August,platform_outcomes,platform_activity,login,in_person,88,0,0,214,137,0,synthetic demo row
19,2024-08-15,2024-2025,August,platform_outcomes,opportunity_posting,skill_building,in_person,85,0,0,0,0,215,synthetic demo row
20,2024-08-15,2024-2025,August,program_activity,outreach_session,posting,not_applicable,85,139,0,0,0,0,synthetic demo row
21,2024-09-15,2024-2025,September,partner_engagement,partner_event,presentation,virtual,122,158,8,0,0,0,synthetic demo row
22,2024-09-15,2024-2025,September,platform_outcomes,platform_activity,skill_building,virtual,72,0,0,977,224,0,synthetic demo row
23,2024-09-15,2024-2025,September,program_activity,outreach_session,advising,in_person,135,261,0,0,0,0,synthetic demo row
24,2024-09-15,2024-2025,September,platform_outcomes,opportunity_posting,posting,virtual,33,0,0,0,0,88,synthetic demo row
25,2024-09-15,2024-2025,September,platform_outcomes,opportunity_posting,advising,not_applicable,113,0,0,0,0,315,synthetic demo row
26,2024-09-15,2024-2025,September,partner_engagement,partner_event,networking,in_person,124,259,8,0,0,0,synthetic demo row
27,2024-09-15,2024-2025,September,platform_outcomes,platform_activity,login,hybrid,34,0,0,1199,156,0,synthetic demo row
28,2024-09-15,2024-2025,September,program_activity,service_interaction,presentation,not_applicable,80,191,0,0,0,0,synthetic demo row
29,2024-09-15,2024-2025,September,program_activity,service_interaction,login,virtual,72,200,0,0,0,0,synthetic demo row
30,2024-09-15,2024-2025,September,partner_engagement,large_scale_event,login,virtual,32,192,9,0,0,0,synthetic demo row
31,2024-10-15,2024-2025,October,program_activity,outreach_session,presentation,in_person,100,295,0,0,0,0,synthetic demo row
32,2024-10-15,2024-2025,October,partner_engagement,large_scale_event,advising,hybrid,87,212,0,0,0,0,synthetic demo row
33,2024-10-15,2024-2025,October,platform_outcomes,opportunity_posting,advising,virtual,83,0,0,0,0,132,synthetic demo row
34,2024-10-15,2024-2025,October,partner_engagement,large_scale_event,orientation,in_person,25,46,23,0,0,0,synthetic demo row
35,2024-10-15,2024-2025,October,platform_outcomes,opportunity_posting,posting,not_applicable,37,0,0,0,0,75,synthetic demo row
36,2024-10-15,2024-2025,October,partner_engagement,large_scale_event,login,not_applicable,47,114,16,0,0,0,synthetic demo row
37,2024-10-15,2024-2025,October,program_activity,outreach_session,skill_building,not_applicable,56,238,0,0,0,0,synthetic demo row
38,2024-10-15,2024-2025,October,platform_outcomes,platform_activity,orientation,in_person,100,0,0,997,284,0,synthetic demo row
39,2024-10-15,2024-2025,October,program_activity,outreach_session,skill_building,in_person,62,78,0,0,0,0,synthetic demo row
40,2024-10-15,2024-2025,October,partner_engagement,large_scale_event,advising,in_person,63,213,7,0,0,0,synthetic demo row
41,2024-11-15,2024-2025,November,platform_outcomes,platform_activity,advising,hybrid,20,0,0,568,54,0,synthetic demo row
42,2024-11-15,2024-2025,November,program_activity,service_interaction,skill_building,not_applicable,136,196,0,0,0,0,synthetic demo row
43,2024-11-15,2024-2025,November,program_activity,outreach_session,networking,not_applicable,38,223,0,0,0,0,synthetic demo row
44,2024-11-15,2024-2025,November,program_activity,outreach_session,presentation,in_person,126,230,0,0,0,0,synthetic demo row
45,2024-11-15,2024-2025,November,program_activity,service_interaction,orientation,not_applicable,115,205,0,0,0,0,synthetic demo row
46,2024-11-15,2024-2025,November,partner_engagement,partner_event,posting,in_person,18,190,20,0,0,0,synthetic demo row
47,2024-11-15,2024-2025,November,program_activity,service_interaction,skill_building,in_person,108,294,0,0,0,0,synthetic demo row
48,2024-11-15,2024-2025,November,program_activity,outreach_session,networking,not_applicable,54,102,0,0,0,0,synthetic demo row
49,2024-11-15,2024-2025,November,program_activity,outreach_session,skill_building,not_applicable,113,159,0,0,0,0,synthetic demo row
50,2024-11-15,2024-2025,November,program_activity,outreach_session,login,in_person,24,137,0,0,0,0,synthetic demo row
51,2024-12-15,2024-2025,December,program_activity,service_interaction,login,virtual,8,31,0,0,0,0,synthetic demo row
