employer_name,job_title,salary_raw,salary_min,salary_max,platform,position_link,career_website
Tesla,"Internship, Controls Engineer, Manufacturing (Fall 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Equipment Engineer, Manufacturing (Winter/Spring 2026)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Construction Project Management, Infrastructure (Fall 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, 3D Generalist, Vehicle User Interface (Summer 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,Sr. Industrial Engineer,null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, IT Operations Intern, Infrastructure Engineering (Fall 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Security Services Coordinator, Security Systems Engineering (Fall 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Architecture & Structural Engineer, Infrastructure (Fall 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Architecture & Structural Engineer, Infrastructure (Winter/Spring 2026)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Software Validation Engineer, Vehicle Firmware (Fall 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,Entry Level Chemical Operator,null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Systems Integration Engineer Low Voltage Power Management, Vehicle Firmware (Fall 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Vulnerability Research & Security Engineering, Vehicle Software (Fall 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Controls Engineer, Manufacturing (Winter/Spring 2026)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,Tesla Advisor Part-Time,null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Launch Engineer, Manufacturing (Winter/Spring 2026)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Cell Engineering (Winter/Spring 2026)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Diagnostics Engineer, Robotaxi Operations",null,null,null,Handshake,N/A,Tesla Careers
Tesla,Controls Technician,null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Audio Visual Technician, Applications Engineering (Fall 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Construction Project Management, Infrastructure (Winter/Spring 2026)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Red Team Security Engineer, Vehicle Software (Fall 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Product Security Engineer, Vehicle Software (Winter/Spring 2026)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Supply Chain (Spring 2026)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Factory Firmware Embedded Software Engineer, Vehicle Software (Fall 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Integration Platforms Software Developer, Vehicle Firmware (Fall 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Equipment Engineer, Manufacturing (Winter/Spring 2026)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Quality Engineer, Manufacturing (Winter/Spring 2026)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,(Spring 2025 Jan-May) Engineering Program Manager Internship,null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Materials Engineering (Fall 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,https://www.tesla.com/careers/search/job/internship-security-services-coordinator-security-systems-engineering-fall-2025-243559,null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Audio Visual Technician, Applications Engineering (Winter/Spring 2026)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Manufacturing Engineering Intern (6-8 Months, Fall 2025+Spring 2026)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Technical Illustrator, Service Engineering (Summer 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Controls Engineer, Manufacturing (Winter/Spring 2026)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Security Systems Engineer, Life Safety Communications (Winter/Spring 2026)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,Vehicle Detailing Specialist,null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Industrial Engineer, Supply Chain (Winter/Spring 2026)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Process Engineer, Manufacturing (Winter/Spring 2026)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Process Engineer, Manufacturing (Fall 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Diagnostics Engineer, Semi",null,null,null,Handshake,N/A,Tesla Careers
Tesla,Data Engineer Intern,null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Body Controls Systems Integration Engineer, Vehicle Firmware (Fall 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Quality Engineer, Manufacturing (Fall 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Technical Editor, Service Engineering (Fall 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Haskell Software Developer, Vehicle Firmware (Fall 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Industrial Engineer, Manufacturing (Winter/Spring 2026)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Audio Visual Technician, Applications Engineering (Fall 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Red Team Security Engineer, Vehicle Software (Winter/Spring 2026)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,Student Architectural Intern,null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Launch Engineer, Manufacturing (Fall 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Process Engineer, Manufacturing (Winter/Spring 2026)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Technical Editor, Vehicle Service (Summer 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Industrial Engineer, Manufacturing (Winter/Spring 2026)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Equipment Engineer, Manufacturing (Fall 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"h Internship, 3D Generalist, Vehicle User Interface (Fall 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Technical Editor, Service Engineering (Fall 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, BIM Specialist, Security Engineering (Fall 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Thermal Systems Embedded Software Engineer, Vehicle Firmware (Fall 2025)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Launch Engineer, Manufacturing (Winter/Spring 2026)",null,null,null,Handshake,N/A,Tesla Careers
Tesla,"Internship, Industrial Engineer, Manufacturing (Fall 2025)",null,null,null,Handshake,N/A,Tesla Careers
ResMed,Test Engineering Intern,null,null,null,Handshake,N/A,Resmed Career
ResMed,Machine Learning Operations Intern,null,null,null,Handshake,N/A,Resmed Career
ResMed,CX Ops Intern,null,null,null,Handshake,N/A,Resmed Career
ResMed,Machine Learning Engineering Intern,null,null,null,Handshake,N/A,Resmed Career
ResMed,Software Engineering Intern,null,null,null,Handshake,N/A,Resmed Career
ResMed,Software Test Engineering Intern,null,null,null,Handshake,N/A,Resmed Career
ResMed,Software Engineering Intern,null,null,null,Handshake,N/A,Resmed Career
ResMed,Test Engineering Intern,null,null,null,Handshake,N/A,Resmed Career
ResMed,Automation Specialist Intern,null,null,null,Handshake,N/A,Resmed Career
ResMed,"Associate Analyst, IT Support Intern",null,null,null,Handshake,N/A,Resmed Career
ResMed,Manufacturing Engineering Intern,null,null,null,Handshake,N/A,Resmed Career
ResMed,Android Developer Intern,null,null,null,Handshake,N/A,Resmed Career
ResMed,Data Scientist Engineering Intern,null,null,null,Handshake,N/A,Resmed Career
ResMed,GenAI Machine Learning Intern,null,null,null,Handshake,N/A,Resmed Career
ResMed,Continuous Improvement Intern,null,null,null,Handshake,N/A,Resmed Career
ResMed,Process Engineering Intern,null,null,null,Handshake,N/A,Resmed Career
ResMed,Technical Program Manager Intern,null,null,null,Handshake,N/A,Resmed Career
ResMed,Associate Platform Engineering Intern,null,null,null,Handshake,N/A,Resmed Career
Oldcastle Infrastructure,Operations & Supply Chain Summer Intern,null,null,null,Handshake,N/A,Oldcastle_Infrastructure
Oldcastle Infrastructure,Materials Science Engineer Intern,null,null,null,Handshake,N/A,Oldcastle_Infrastructure
Oldcastle Infrastructure,Estimating and Project Support Engineer Intern,null,null,null,Handshake,N/A,Oldcastle_Infrastructure
Oldcastle Infrastructure,Business Performance Intern (Artificial Intelligence),null,null,null,Handshake,N/A,Oldcastle_Infrastructure
